Hendelse	Gain	Weight
Et tre faller over tærne dine. Du får skikkelig vondt i tærne (level -1)	-1	5
Banken ringer og sier at de setter ned renten på huslånet. Jess! (level +1)	1	5
Du blir oppringt av Norsk Tipping…! De har ringt feil. Skuffelsen er enorm (level -1)	-1	5
Du finner en spesialutgave av Wizard Fitness som inneholder et nytt treningsprogram. Du følger instruksjonene og føler deg skikkelig i slaget (level +2)	2	5
En snegle kommer ut av buskene og jager deg. I all din forhastelse snubler du i skolissene dine og du mister en fortann (level -1)	-1	5
Foran deg ser du en lilla tåke som kommer sivende mot deg. Idet den passerer merker du at du puster tungt (level -1)	-1	5
Du kommer til en bekk. Du prøver å komme deg over, men istedet faller du ned i bekken og blir våt. (Level -1)	-1	5
Du finner et ødelagt gevær. Du prøver å reparere den, men det eneste nyttige er noen ubrukte kuler (Level +1)	1	5
En drone svirrer rundt deg, og tar film av deg. Det er kanskje noen som følger med deg?	0	5
Du faller plutselig ned i et hull som er gravd i bakken. Du vrikker foten. (Level -1)	-1	5
Du holder på å falle ned i et hull, men du klarer å redde deg selv.	0	5
Du treffer på en sverm av genemodifiserte bier som jakter på deg. Du løper unna, men blir stukket flere steder. (Level -1)	-1	5
Lynet slår ned! Et tre begynner å brenne. Du kommer deg vekk før noe mer skjer.	0	5
Du finner en firkløver! Lykken har snudd! (Level +2)	2	3
Du finner en kanin som du gjør til ditt kjeledyr. Du kaller den for "Drapskaninen fra Caerbannog". (Level +3)	3	1
Du møter på en ulv. Den har nettopp drept et rådyr, men løper vekk når du kommer. Du slakter rådyret og tar kjøttet med deg. (Level +1)	1	5
Du finner en stein. Den er rund, hvit og perfekt for å legge i en slynge. (Level +1)	1	5
Du finner en stein. Den er ikke spesiell, men hvis du ser på den fra en spesiell vinkel ser det ut som ansiktet til Michael Jackson.	0	5
Du innser at du bare er en karakter i et telegram spill. Du hacker spillet og gir deg mer styrke (Level +3)	3	1
Du finner et lasersverd. Det har nok tilhørt en person i en galakse langt, langt vekk, for lenge, lenge siden. (Level +3)	3	2
Du finner en gull-hanske med 6 steiner i regnbuens farger. Du prøver å ta den på deg men den er for stor. Den var nok lagd for en kjempe.	0	2
Du finner et brev, med adressen skrevet med grønnt blekk. "Hekkveien 4, Søndre Syting". Det er ikke din adresse.	0	1
Du finner et sverd i en stein. Du trekker det opp, og en stemme sier "Se! Kong Arthur har trukket opp sverdet fra st... Du er ikke Arthur!" Du beholder sverdet. (Level +2)	2	3
Du trasker langs en lang landevei. Hunden din går traskende bak deg. Du plyster og synger, som du pleier å gjøre når du er i godt humør. Du går og sparker på rask og søppel som ligger der i veikanten. Rustne blikkbokser som skranglet inn mellom trestammene med hunden halsende etter. Brukte armbåndsur, hjulkapsler og dennslags. Og melodien du plystrer på, den har du laget selv. Du føler deg straks bedre. (Level +1)	1	5
Du finner en gressklipper. Den er tung å dra med seg, men du kan kanskje få bruk for den på en eller annen måte. (Level +1)	1	5
Du finner en elektrisk sparkesykkel. Men den går ikke fortere enn 20 km/t. (Level +1)	1	5
Du finner en usynlighetskappe. Men du mister den, og finner den ikke igjen... Hvem kom på denne smarte ideen?	0	4
Du finner et balltre. Plutselig kommer det en baseball rett mot deg! Du slår den tilbake med balltreet. Det kommer applaus fra skogen! (Level +1)	1	4
Du ser en UFO som flyr over himmelen. Den skyter en stråle ned i det fjerne og drar opp en person. Idet personen flyr over hodet ditt mister han en pistol. Du plukker den opp. (Level +1)	1	4
Du finner en robot-drakt. Når du prøver å ta den på deg kommer det opp en tekst i lufta: "For å bruke robot-drakten må du kjøpe Season Pass". Du har ingen anelse hvordan du gjør det så du går bedrøvet bort. Men du tar med deg pistolen den holdt. (Level +1)	1	5
Du kommer over et pepperkakehus. Du tar en bit av det, og lurer på om det bor en heks der. (Level +1)	1	5
Du ser en rød og hvit sopp. Den ser ut som en sopp fra et Mario spill. Du spiser den. Du vokser 1 cm. (Level +0,001)	0	4
Du kommer til en kilde med et skilt der det står "hukommelsestapskilden". Du kan ikke huske om du har drukket av den eller ikke...	0	3
Du kommer til en kilde med et skilt der det står "ungdommskilden". Du drikker av den, men innser at du er jo allerede ungdomlig til sinns. (Level +1)	1	4
Du ser en regnbue over hele himmelen. Det er en dobbel regnbue. Over hele himmelen. Hele veien. Du blir skikkelig inspirert! (Level +1)	1	5
Du kommer til en ønskebrønn. Du kaster en mynt ned i brønnen og ønsker deg en Level +1. Ønsket blir oppfylt.	1	5
Du kommer over en hoppestokk. Det kan jo være kjekt å ha (Level +1)	1	5
Du finner laserpenn. Den kan brukes til å irritere andre personer og til å holde kjedelige foredrag. (Level +1)	1	5
Du finner en hestesko. Hadde du hatt en hest hadde det jo vært nyttig, men du har ikke en hest. Den kan jo brukes til å kaste på noen da. (Level +1)	1	5
Du finner en brukermanual til et IKEA møbel. Du leser den grundig og føler deg mer skikket til å takle livets mange problemer. (Level +1)	1	5
Du finner en Jukebox med favorittsangen din. Det gir deg litt ekstra mot til å fortsette. (Level +1)	1	5
